LVLT	2000-01-03	2017-11-01
LVNTA	2012-08-10	2018-03-12
LXK	2016-01-04	2016-11-29
LYLT	2021-11-02	2023-06-27
MCFE	2020-10-22	2022-09-16
MCRS	2000-01-03	2014-09-08
MCW	2021-06-25	2026-05-19
MDC	2000-01-03	2024-04-19
MDLA	2019-07-19	2021-10-29
MDR	2000-01-03	2020-01-22
MDSO	2009-06-25	2019-10-28
MDVN	2016-01-04	2016-09-29
MER	2006-12-28	2008-12-31
MFE	2006-12-28	2011-03-01
MGI	2004-07-01	2023-06-01
MHS	2006-12-28	2013-04-10
MIC	2004-12-16	2022-07-21
MIK	2014-06-27	2021-04-15
MIL	2000-01-03	2016-02-12
MJN	2009-02-11	2017-07-14
MNDT	2013-09-20	2022-09-16
MNI	2000-01-03	2020-02-13
MON	2021-03-16	2022-12-23
MRC	2012-04-12	2025-11-05
MRD	2014-06-12	2016-09-26
MRO	2000-01-03	2024-11-22
MSCC	2000-01-03	2018-05-29
MSGN	2010-01-25	2021-07-09
MSP	2020-10-21	2022-06-23
MXIM	2000-01-03	2021-09-01
NATI	2000-01-03	2023-10-11
NAV	2000-01-03	2021-06-30
NBL	2000-01-03	2020-10-06
NEWR	2014-12-12	2023-11-07
NFS	2000-01-03	2010-01-08
NFX	2000-01-03	2019-02-14
NIHD	2015-07-06	2020-08-03
NLC	2011-09-13	2012-12-10
NLSN	2011-01-27	2022-10-11
NMX	2006-11-17	2009-08-28
NRE	2015-11-02	2019-10-07
NRF	2016-01-04	2017-01-18
NSR	2021-06-03	2022-08-15
NTRI	2000-03-30	2019-03-08
NTY	2006-12-28	2010-09-30
NUAN	2000-01-03	2022-03-04
NVLS	2006-12-28	2017-07-24
OA	2000-01-03	2018-06-06
OB	2006-11-09	2017-10-19
OCR	2000-01-03	2015-08-17
OMX	2006-12-28	2013-11-05
ONXX	2000-01-03	2013-10-17
OSH	2020-08-06	2023-05-02
PACW	2000-06-05	2023-11-30
PAS	2001-01-02	2011-03-07
PBCT	2000-01-03	2022-04-04
PBG	2001-01-02	2011-03-07
PCP	2016-01-04	2016-02-08
PCYC	2000-01-03	2015-06-03
PDCE	2000-01-03	2023-09-05
PDCO	2000-01-03	2025-04-17
PDLI	2000-01-03	2022-01-18
PE	2014-05-23	2021-01-12
PETM	2000-01-03	2015-03-11
PF	2013-03-28	2018-10-26
PFPT	2012-04-20	2021-08-31
PGN	2014-07-21	2015-12-17
PGRE	2014-11-19	2025-12-18
PINC	2013-09-26	2025-11-25
PLAN	2018-10-12	2022-06-22
PLCM	2001-01-02	2016-09-28
PLL	2018-01-02	2025-08-29
PMCS	2016-01-04	2016-01-25
PNRA	2000-01-03	2017-07-19
PNY	2001-01-02	2016-10-11
PPD	2020-02-06	2021-12-08
PPO	2007-07-26	2015-08-26
PPP	2009-12-14	2017-08-14
PPS	2000-01-03	2016-12-08
PRAH	2014-11-13	2021-07-01
PTHN	2016-07-21	2017-11-03
PX	2000-01-03	2018-10-30
PXD	2000-01-03	2024-05-03
PXP	2006-12-28	2013-05-30
PYCR	2021-07-21	2025-04-14
QCOR	2000-01-03	2014-08-14
QEP	2010-06-16	2021-03-18
QLGC	2016-01-04	2016-08-24
RAH	2006-12-28	2013-01-29
RAI	2000-01-03	2017-08-17
RAX	2008-08-07	2016-11-11
RCPT	2013-05-09	2015-08-27
RDC	2000-01-03	2019-04-11
RESP	2007-02-23	2024-01-26
RETA	2016-05-26	2023-09-26
RHT	2000-01-03	2019-07-08
RICE	2014-01-24	2017-11-14
ROH	2006-12-28	2009-04-01
RP	2010-08-12	2021-04-22
RPAI	2012-04-09	2021-10-22
RRD	2000-01-03	2022-02-25
RSH	2000-01-03	2015-02-02
RSPP	2014-01-17	2018-07-19
RVBD	2006-09-21	2015-04-24
RYL	2000-01-03	2015-09-30
SAF	2018-08-29	2021-08-30
SAGE	2014-07-18	2025-07-31
SAVE	2011-05-26	2024-11-18
SC	2014-01-23	2022-01-28
SCG	2000-01-03	2018-12-31
SCS	2000-01-03	2025-12-09
SCTY	2012-12-13	2016-11-29
SEE	2000-01-03	2026-04-09
SFG	2000-01-03	2016-03-15
SGFY	2021-02-11	2023-04-03
