ticker,bucket,observed_delist_date,crsp_code,dlret,reason,exchange,last_trade_close,payout_per_share,stock_ratio,acquirer_price,acquirer_ticker,recovery_ratio,terminal_value,dlret_method,dlret_confidence,payout_source
TRW,merger,2015-05-26,231,0.001328,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,105.460000,105.600000,,,,,105.600000,cash_only,high,8K_2.01
TSP,compliance_failure,2024-02-08,580,-0.550000,"Compliance failure (3.01 alone, no M&A indicators) + NT 10-K/Q in prior year (delinquent filer 580)",other,0.250000,,,,,,,shumway_nasdaq,medium,
TSRO,merger,2019-01-18,231,0.000534,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,74.960000,75.000000,,,,,75.000000,cash_only,high,8K_2.01
TSS,expiration,2019-09-17,600,,"Non-equity security (asset_type='etf', name='graniteshares 1x short tsla daily etf')",nyse,133.270000,,,,,,,dropped_expiration,low,
TWC,merger,2016-05-26,231,0.042559,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,209.560000,100.000000,0.540900,219.040000,CHTR,,218.478736,cash_plus_stock,medium,8K_2.01
TWKS,merger,2024-11-13,200,,M&A 2.01+3.01 (acquisition with delisting),nasdaq,4.470000,,,,,,,abstain_no_consideration,low,
TWTR,merger,2022-10-28,231,0.009311,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,53.700000,54.200000,,,,,54.200000,cash_only,high,8K_2.01
TWX,merger,2018-06-15,231,0.026491,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,98.770000,53.750000,1.437000,33.150000,T,,101.386550,cash_plus_stock,medium,
UAG,expiration,2020-12-09,600,,"Non-equity security (asset_type='etf', name='ubs ag jersey')",nyse,17.570000,,,,,,,dropped_expiration,low,
UFS,exchange_transfer,2021-11-30,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),nyse,55.490000,,,,,,,exchange_transfer_zero,high,
UMPQ,merger,2023-03-01,231,0.010431,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,17.660000,,0.595800,29.950000,COLB,,17.844210,stock_only,medium,
UNT,exchange_transfer,2020-12-23,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),nyse,0.040500,,,,,,,exchange_transfer_zero,high,
UNVR,merger,2023-07-31,231,0.000277,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,36.140000,36.150000,,,,,36.150000,cash_only,high,8K_2.01
URS,merger,2014-10-17,231,0.015671,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,54.200000,33.000000,0.734000,30.040000,ACM,,55.049360,cash_plus_stock,medium,
UTIW,liquidation,2016-02-01,400,-0.550000,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",nasdaq,7.090000,,,,,,,shumway_nasdaq,medium,
VAR,merger,2021-04-16,231,0.002428,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,177.070000,177.500000,,,,,177.500000,cash_only,medium,DEFM14A
VER,merger,2021-10-29,231,0.001156,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,50.300000,,0.705000,71.430000,O,,50.358150,stock_only,medium,
