sec_id,delist_date,ticker,payout_per_share,confidence,source,accession
BBG000BH2T94,2011-12-11,GLBL,8.000000,medium,DEFM14A,0000950123-11-092978
BBG000BH2VM4,2010-07-08,XTO,,none,none,
BBG000BH5K72,2007-12-28,DJ,60.000000,medium,DEFM14A,0001193125-07-237942
BBG000BH82F0,2016-08-26,QLGC,,none,none,
BBG000BH93Y6,2022-03-10,RRD,10.850000,high,8K_2.01,0001193125-22-053784
BBG000BHC2S1,2015-03-21,PETM,83.000000,high,8K_2.01,0001193125-15-087596
BBG000BHD665,2007-10-22,CDWC,87.750000,medium,8K_1.01,0001193125-07-221351
BBG000BHD8S7,2022-10-13,DRE,,none,none,
BBG000BHGCD1,2019-02-21,ATHN,135.000000,medium,8K_1.01,0001193125-18-324791
BBG000BHK836,2021-05-24,FLIR,56.000000,high,8K_2.01,0001193125-21-161540
BBG000BHNPN3,2012-07-12,CHSI,,none,none,
BBG000BHQ1H0,2015-03-27,AGN,,none,none,
BBG000BHQYG9,2018-12-10,EGN,,none,none,
BBG000BHVJJ3,2016-09-17,EMC,,none,none,
BBG000BHW628,2016-06-11,WCN,,none,none,
BBG000BHWTB8,2016-12-11,PPS,,none,none,
BBG000BJ3QD0,2007-11-16,DADE,77.000000,medium,8K_1.01,0001104659-07-056572
BBG000BJ98Z0,2016-03-13,GMCR,92.000000,high,8K_2.01,0001104659-16-102088
BBG000BJ9D07,2016-09-08,ROVI,,none,none,
BBG000BJBMG7,2016-01-14,FCE-A,,none,none,
BBG000BJDPC2,2015-07-17,FDO,,none,none,
BBG000BJDX44,2010-03-11,PBG,36.500000,medium,8K_1.01,0000950157-09-000466
BBG000BJV732,2007-12-01,FRK,,none,none,
BBG000BJVZF7,2014-07-12,FRX,,none,none,
BBG000BJXXX0,2007-07-12,IFIN,,none,none,
BBG000BK1FD3,2014-12-04,FWLT,32.000000,medium,8K_1.01,0001144204-14-008623
BBG000BK5DP1,2026-03-30,TGNA,22.000000,high,8K_2.01,0001104659-26-032772
BBG000BK6G19,2019-02-24,NFX,,none,none,
BBG000BK7SL0,2011-04-18,GENZ,74.000000,high,8K_2.01,0000950123-11-034216
BBG000BKKXG0,2008-12-11,PHLY,61.500000,high,8K_2.01,0000893220-08-003112
BBG000BKLTM1,2025-11-16,MRC,,none,none,
BBG000BKLVK8,2012-08-06,GR,127.500000,high,8K_2.01,0001193125-12-328867
BBG000BKSL41,2015-11-09,HCBK,,high,llm_election_stock,0001193125-15-362444
BBG000BKTT89,2017-03-23,HAR,112.000000,high,8K_2.01,0001193125-17-078968
BBG000BKWCS0,2021-12-23,HRC,156.000000,medium,DEFM14A,0001140361-21-035000
BBG000BKXPK8,2015-11-06,HCC,78.000000,high,8K_2.01,0001104659-15-073120
BBG000BL6NZ5,2016-03-18,SFG,115.000000,high,8K_2.01,0001193125-16-495246
BBG000BL8GJ6,2020-03-23,AKS,,none,none,
BBG000BL9JQ1,2022-03-25,HFC,,none,none,
BBG000BLBXT4,2016-10-03,HOT,,none,none,
BBG000BLCL55,2021-03-27,QEP,,none,none,
BBG000BLFC07,2021-04-26,CKH,41.500000,high,8K_2.01,0001193125-21-119021
BBG000BLNZL4,2026-01-12,SNV,,none,none,
BBG000BLPBL5,2026-08-27,AVB,,none,none,
BBG000BLQ5V6,2012-08-13,HGSI,14.250000,high,8K_2.01,0001193125-12-343761
BBG000BLRYM2,2016-09-30,FEIC,107.500000,high,8K_2.01,0001193125-16-718451
BBG000BLVBC8,2024-01-15,CHS,7.600000,high,8K_2.01,0000950142-24-000046
BBG000BLXT19,2020-11-02,IMMU,88.000000,high,8K_2.01,0001104659-20-117764
BBG000BM6KM3,2015-01-25,IRF,40.000000,medium,8K_1.01,0001104659-14-062529
BBG000BM7L13,2025-08-04,TGI,26.000000,high,8K_2.01,0000950170-25-098396
BBG000BM8M92,2015-12-19,CYT,75.250000,high,8K_2.01,0000950103-15-009456
BBG000BMDV41,2016-09-16,JCI,,none,none,
BBG000BMDZF0,2019-07-11,LLL,,none,none,
BBG000BMFD58,2020-10-16,AMTD,,none,none,
BBG000BMGL77,2008-07-17,GYI,34.000000,medium,8K_1.01,0001193125-08-038850
BBG000BMJYW8,2011-06-13,PLD,,none,none,
BBG000BMKDM3,2025-12-21,K,83.500000,high,8K_2.01,0001193125-25-315130
BBG000BMP3J4,2016-10-07,PLCM,12.500000,high,8K_2.01,0001193125-16-721547
BBG000BMR3G5,2016-01-14,ARRS,,none,none,
BBG000BMZLP6,2007-08-20,AQNT,66.500000,high,8K_2.01,0000891020-07-000238
BBG000BN1XR3,2018-12-07,COL,,none,none,
BBG000BN53G7,2026-09-06,LEG,,none,none,
BBG000BN9WT5,2017-03-20,LLTC,,none,none,
BBG000BNBPQ0,2020-08-13,LM,50.000000,high,8K_2.01,0001193125-20-206706
BBG000BNL271,2011-09-29,LZ,135.000000,high,8K_2.01,0001193125-11-252893
BBG000BNTFJ1,2014-09-18,MCRS,68.000000,high,8K_2.01,0001193125-14-335718
BBG000BNVNY4,2021-12-12,MDP,,none,none,
BBG000BNXLK1,2007-07-12,MEL,,none,none,
BBG000BP0KQ8,2026-08-14,EA,210.000000,high,8K_2.01,0001140361-26-031157
BBG000BP22B2,2011-07-16,MI,,none,none,
BBG000BP2H92,2010-07-25,MIL,107.000000,high,8K_2.01,0000950157-10-000965
BBG000BP2HH3,2008-05-09,BEAS,19.375000,high,llm,0001193125-08-044381
BBG000BP2X06,2015-10-18,THOR,63.500000,high,8K_2.01,0001104659-15-069935
BBG000BP6L99,2017-11-27,BRCD,12.750000,medium,DEFM14A,0001193125-16-797795
BBG000BP8KR9,2013-12-19,MOLX,38.680000,high,8K_2.01,0001104659-13-088986
BBG000BPG977,2018-06-08,MSCC,68.780000,high,8K_2.01,0001193125-18-176068
BBG000BPNP00,2021-09-05,MXIM,,none,none,
BBG000BPQD31,2020-11-26,MYL,,none,none,
BBG000BPQVR5,2015-07-12,RKT,,none,none,
BBG000BPS2V2,2021-07-11,NAV,44.500000,high,8K_2.01,0001193125-21-205640
BBG000BPT0C6,2020-10-15,NBL,,none,none,
BBG000BPVCR1,2014-08-24,QCOR,,none,none,
BBG000BPX9M1,2010-03-08,RX,22.000000,high,8K_2.01,0001193125-10-046060
BBG000BQ3F39,2011-05-07,NOVL,6.100000,high,8K_2.01,0001193125-11-115493
BBG000BQ5TK8,2011-10-06,NSM,25.000000,high,8K_2.01,0000097476-11-000043
BBG000BQB7P4,2012-06-14,NVLS,,none,none,
BBG000BQG2C4,2015-08-28,OCR,98.000000,high,8K_2.01,0000353230-15-000039
BBG000BQLXQ5,2017-03-06,ISIL,22.500000,high,8K_2.01,0001193125-17-057480
BBG000BQT4L6,2022-04-14,PBCT,,none,none,
BBG000BQY289,2025-04-27,PDCO,31.350000,high,8K_2.01,0001193125-25-083614
BBG000BR1KR2,2023-08-17,PDCE,,none,none,
BBG000BRB2F4,2015-09-10,PLL,127.200000,high,8K_2.01,0000947871-15-000588
BBG000BRYN54,2011-03-11,MFE,48.000000,high,8K_2.01,0000950123-11-019841
BBG000BRZBT3,2019-04-21,RDC,,none,none,
